new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 13:45:00,56.95666504,52.35766602,2.033333302,475.6000061,5,23.5,1003.799988,480.0888672,24.69133377
2021-09-07 13:50:00,57.08666611,52.55266571,1.966666698,471.8999939,6,23.4,1003.799988,482.0749817,24.73466682
2021-09-07 13:55:00,56.95999908,52.84766769,1.899999976,469.3666687,6,23.5,1003.599976,480.868866,24.7563324
2021-09-07 14:00:00,57.15333176,53.11333466,2.0,470.8999939,4,23.3,1003.599976,478.6811829,24.77000046
2021-09-07 14:05:00,57.08214188,53.3510704,2.071428537,468.5357056,6,23.3,1003.599976,478.0895996,24.79928589
2021-09-07 14:10:00,57.16999817,53.60200119,2.099999905,467.6666565,6,23.4,1003.400024,478.4896545,24.81333351
2021-09-07 14:15:00,57.13999939,53.83100128,2.033333302,467.9333191,3,23.3,1003.299988,480.8883667,24.83466721
2021-09-07 14:20:00,56.9366684,53.99333191,2.299999952,469.6666565,3,23.3,1003.099976,481.2883301,24.86300087
2021-09-07 14:25:00,56.90999985,54.26399994,2.133333445,472.3999939,5,23.4,1003.099976,481.888092,24.87400055
2021-09-07 14:30:00,57.0241394,54.47310257,2.068965435,471.9310303,6,23.6,1003.0,483.2872009,24.88689613
2021-09-07 14:35:00,57.15000153,54.66966629,2.133333445,471.2333374,7,23.6,1002.799988,482.0878906,24.90833282
2021-09-07 14:40:00,56.93333435,54.95433426,2.066666603,472.3666687,8,23.5,1002.599976,482.6876221,24.89699936
2021-09-07 14:45:00,57.02666855,55.2120018,2.066666603,470.8999939,5,23.6,1002.5,482.9892883,24.90866661
2021-09-07 14:50:00,57.23333359,55.38266754,2.099999905,468.6333313,6,23.5,1002.5,482.4876709,24.92266655
2021-09-07 14:55:00,57.00333405,55.51733398,2.166666746,470.3666687,5,23.5,1002.299927,484.2869263,24.9470005
2021-09-07 15:00:00,56.72499847,55.70750046,2.214285612,440.4285583,5,23.6,1002.099976,486.4870605,24.9642849
2021-09-07 15:05:00,57.12333298,55.81433487,2.066666603,461.7999878,8,23.4,1002.0,487.8856201,24.98366737
